Date,Adj Close
2020-01-01,1258.4580078125
2020-01-02,1266.4796142578125
2020-01-03,1248.418701171875
2020-01-06,1221.4010009765625
2020-01-07,1240.741455078125
2020-01-08,1237.4935302734375
2020-01-09,1251.3714599609375
2020-01-10,1262.4932861328125
2020-01-13,1265.7413330078125
2020-01-14,1269.186279296875
2020-01-15,1264.0189208984375
2020-01-16,1267.3653564453125
2020-01-17,1258.0150146484375
2020-01-20,1235.13134765625
2020-01-21,1224.74755859375
2020-01-22,1221.3026123046875
2020-01-23,1225.2396240234375
2020-01-24,1224.9444580078125
2020-01-27,1194.088134765625
2020-01-28,1203.9305419921875
2020-01-29,1216.38134765625
2020-01-30,1206.73583984375
2020-01-31,1206.98193359375
2020-02-03,1174.009521484375
2020-02-04,1210.4267578125
2020-02-05,1225.042724609375
2020-02-06,1220.2691650390625
2020-02-07,1222.63134765625
2020-02-10,1220.7613525390625
2020-02-11,1221.0565185546875
2020-02-12,1229.32421875
2020-02-13,1221.843994140625
2020-02-14,1200.1412353515625
2020-02-17,1197.97607421875
2020-02-18,1194.137451171875
2020-02-19,1207.8675537109375
2020-02-20,1197.9267578125
2020-02-24,1190.889404296875
2020-02-25,1181.3914794921875
2020-02-26,1180.3580322265625
2020-02-27,1180.5548095703125
2020-02-28,1159.0982666015625
2020-03-02,1161.0174560546875
2020-03-03,1163.1829833984375
2020-03-04,1130.751953125
2020-03-05,1133.2125244140625
2020-03-06,1117.0216064453125
2020-03-09,1089.8565673828125
2020-03-11,1096.2540283203125
2020-03-12,1005.2112426757812
2020-03-13,1052.947265625
2020-03-16,983.7546997070312
2020-03-17,959.7390747070312
2020-03-18,863.0860595703125
2020-03-19,881.4421997070312
2020-03-20,868.9422607421875
2020-03-23,759.3955688476562
2020-03-24,755.6062622070312
2020-03-25,843.2534790039062
2020-03-26,886.9047241210938
2020-03-27,890.2020263671875
2020-03-30,818.5488891601562
2020-03-31,848.3223266601562
2020-04-01,816.5803833007812
2020-04-03,801.0292358398438
2020-04-07,881.9835205078125
2020-04-08,874.8970336914062
